Team,Win,Quarters,Semis,Final,Group
Argentina,700,-140,180,350,-165
Austrailia,25000,1000,3500,12000,2000
Belgium,900,-175,220,450,-120
Brazil,400,-200,110,225,-400
Colombia,3500,180,500,1200,125
CostaRica,20000,1000,6000,15000,1600
Croatia,3000,200,600,1400,225
Denmark,8000,450,900,2500,450
Egypt,15000,800,1400,5000,550
England,1600,-120,300,700,120
France,500,-200,120,275,-350
Germany,450,-200,1,225,-300
Iceland,15000,1000,2500,6600,1200
Iran,40000,1000,6000,15000,3300
Japan,25000,1000,3000,10000,600
Mexico,6500,500,1000,4000,500
Morocco,30000,1000,5000,15000,1600
Nigeria,15000,1000,2500,6600,1000
Panama,50000,1000,10000,15000,4000
Peru,12500,900,1800,8000,800
Poland,4000,250,600,1600,185
Portugal,2500,130,450,1000,200
Russia,4000,175,550,1400,125
SaudiArabia,50000,1000,10000,15000,3300
Senegal,15000,600,1200,5000,450
Serbia,12500,700,1400,5000,700
SouthKorea,40000,1000,6000,15000,1400
Spain,600,-200,130,300,-200
Sweden,15000,700,1200,4000,550
Switzerland,8000,500,900,2500,550
Tunisia,50000,1000,6000,15000,1000
Uruguay,2500,160,400,1200,-125
